,eventDate,sex,scientificName,coordinateUncertaintyInMeters,basisOfRecord,decimalLongitude,decimalLatitude,geodeticDatum,occurrenceID
0,2008-05-05,F,Climacteris picumnus,30,HumanObservation,143.2585859,-36.86753623,WGS84,0-KKNP-01-KKNP
1,2008-08-22,F,Climacteris picumnus,30,HumanObservation,143.2546377,-36.87776688,WGS84,1-KKNP-01-KKNP
2,2008-02-05,F,Climacteris picumnus,30,HumanObservation,143.2939053,-36.85016158,WGS84,2-KKNP-02-KKNP
3,2008-08-22,F,Climacteris picumnus,30,HumanObservation,143.3133888,-36.85253109,WGS84,3-KKNP-02-KKNP
4,2008-02-06,?,Artamus cyanopterus,30,HumanObservation,143.306694,-36.88116535,WGS84,4-KKNP-03-KKNP
5,2008-08-22,M,Acanthiza lineata,30,HumanObservation,143.3118868,-36.89122256,WGS84,5-KKNP-03-KKNP
6,2008-08-21,?,Artamus cyanopterus,30,HumanObservation,143.6905932,-37.06920071,WGS84,6-PRSP-01-PRSP
7,2008-02-06,M,Acanthiza reguloides,30,HumanObservation,143.6930823,-37.07700759,WGS84,7-PRSP-01-PRSP
8,2008-02-06,M,Malurus cyaneus,30,HumanObservation,143.7015366,-37.08471097,WGS84,8-PRSP-02-PRSP
9,2008-02-06,M,Malurus cyaneus,30,HumanObservation,143.6963439,-37.08724436,WGS84,9-PRSP-02-PRSP
10,2008-02-05,M,Acanthiza reguloides,30,HumanObservation,143.6915803,-37.10494145,WGS84,10-PRSP-03-PRSP
11,2008-02-06,F,Acanthiza lineata,30,HumanObservation,143.6897778,-37.10850091,WGS84,11-PRSP-03-PRSP
12,2008-02-06,?,Ptilotula fusca,30,HumanObservation,143.720473,-37.06966298,WGS84,12-MBRP-01-MBRP
13,2008-02-06,?,Ptilotula fusca,30,HumanObservation,143.7211275,-37.07048907,WGS84,13-MBRP-01-MBRP
14,2008-02-06,?,Melithreptus brevirostris,30,HumanObservation,143.725065,-37.06709048,WGS84,14-MBRP-02-MBRP
15,2008-08-22,?,Melithreptus brevirostris,30,HumanObservation,143.7272966,-37.06777963,WGS84,15-MBRP-02-MBRP
16,2008-08-21,F,Malurus cyaneus,30,HumanObservation,144.0702572,-37.17755418,WGS84,16-RSNC-01-RSNC
17,2008-02-06,?,Ptilotula fusca,30,HumanObservation,144.0633908,-37.16223393,WGS84,17-RSNC-01-RSNC
18,2008-02-06,F,Pardalotus punctatus,30,HumanObservation,144.0469113,-37.23265402,WGS84,18-RSNC-02-RSNC
19,2008-02-06,F,Pardalotus punctatus,30,HumanObservation,144.0664807,-37.28675759,WGS84,19-RSNC-02-RSNC
