occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,vernacularName,genus,family,order,class,phylum,kingdom,coordinateUncertaintyInMeters,geodeticDatum,basisOfRecord
c6b35afa-f0f7-4ba5-9d2f-9ae4d61cfae8,Corymbia latifolia,-13.04,131.07,2022-03-29,Round-leaved Bloodwood,Corymbia,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
f3d21e13-b241-4e92-90e6-7c86925087dd,Eucalyptus tectifica,-13.04,131.07,2022-09-13,Grey Box,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
f8b8d01d-9012-4161-8dda-c89553c9ed16,Banksia aemula,-33.6,150.72,2022-08-15,Banyalla,Banksia,Proteaceae,Proteales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
54f630a3-5418-4db5-ac13-1e3070a99570,Eucalyptus racemosa,-33.6,150.72,2022-06-16,Scribbly Gum,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
7ee6a7e1-7cbb-43d6-ab5f-2a49956cd098,Persoonia laurina,-33.6,150.72,2022-10-19,,Persoonia,Proteaceae,Proteales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
5895edaf-0a80-4fe4-b136-251d5873f9c2,Acacia aneura,-22.35,133.33,2022-10-11,Mulga,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
b30b1c16-99e6-4b18-b3d8-4115a0cc80a7,Acacia cambagei,-22.35,133.33,2022-08-23,Gidgee,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
51c2d4ba-dd6d-4fc5-8cba-6f579ff155b3,Acacia dictyophleba,-22.35,133.33,2022-01-11,Waxy Wattle,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
b36fca6d-16b1-4b1b-a5fd-4091b907cf24,Acacia estrophiolata,-22.35,133.33,2022-07-10,Southern Ironwood,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
be7603ee-c8ed-47f3-9e28-d71b11dd1dc9,Acacia kempeana,-22.35,133.33,2022-07-18,Witchetty Bush,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
0ec75273-0afc-4a33-b222-364baa90c6ba,Acacia melleodora,-22.35,133.33,2022-04-25,Scented Wax Wattle,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
d08e299c-f2cb-47d8-a65a-c39999a0d4b6,Acacia murrayana,-22.35,133.33,2022-12-15,Murray's Wattle,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
2a53e014-42ed-4113-be38-3c726a179177,Corymbia opaca,-22.35,133.33,2022-02-06,Desert Bloodwood,Corymbia,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
817ea90e-0a68-4474-8917-180fb78c7299,Corymbia terminalis,-22.35,133.33,2022-04-21,Bloodwood,Corymbia,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
2a801940-7205-4fcc-b198-502c313def5e,Eremophila latrobei,-22.35,133.33,2022-01-30,Crimson Turkey Bush,Eremophila,Scrophulariaceae,Lamiales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
20b72d59-e3b3-44e1-ae89-05fe997b7fda,Eucalyptus camaldulensis,-22.35,133.33,2022-03-30,Flooded Gum,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
5a468b93-330c-407a-88c3-a4d96f62aef1,Eucalyptus camaldulensis subsp. obtusa,-22.35,133.33,2022-07-25,Yumu,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
