eventID,parentEventID,eventType,locality,eventDate,eventName
1,,siteVisit,Cannonvale,3/1/2023,bird survey local park honeyeater lookout point
2,1,Sample,Cannonvale,3/1/2023,bird survey local park honeyeater lookout point
3,2,Observation,Cannonvale,3/1/2023,bird survey local park honeyeater lookout point
4,,siteVisit,Cannonvale,17/1/2023,bird survey local park honeyeater lookout point
5,4,Sample,Cannonvale,17/1/2023,bird survey local park honeyeater lookout point
6,5,Observation,Cannonvale,17/1/2023,bird survey local park honeyeater lookout point
7,,siteVisit,Cannonvale,31/1/2023,bird survey local park honeyeater lookout point
8,7,Sample,Cannonvale,31/1/2023,bird survey local park honeyeater lookout point
9,8,Observation,Cannonvale,31/1/2023,bird survey local park honeyeater lookout point
10,,siteVisit,Cannonvale,14/2/2023,bird survey local park honeyeater lookout point
11,10,Sample,Cannonvale,14/2/2023,bird survey local park honeyeater lookout point
12,11,Observation,Cannonvale,14/2/2023,bird survey local park honeyeater lookout point
13,,siteVisit,Cannonvale,28/2/2023,bird survey local park honeyeater lookout point
14,13,Sample,Cannonvale,28/2/2023,bird survey local park honeyeater lookout point
15,14,Observation,Cannonvale,28/2/2023,bird survey local park honeyeater lookout point
16,,siteVisit,Cannonvale,14/3/2023,bird survey local park honeyeater lookout point
17,16,Sample,Cannonvale,14/3/2023,bird survey local park honeyeater lookout point
18,17,Observation,Cannonvale,14/3/2023,bird survey local park honeyeater lookout point
19,,siteVisit,Cannonvale,28/3/2023,bird survey local park honeyeater lookout point
20,19,Sample,Cannonvale,28/3/2023,bird survey local park honeyeater lookout point
21,20,Observation,Cannonvale,28/3/2023,bird survey local park honeyeater lookout point
22,,siteVisit,Cannonvale,11/4/2023,bird survey local park honeyeater lookout point
23,22,Sample,Cannonvale,11/4/2023,bird survey local park honeyeater lookout point
24,23,Observation,Cannonvale,11/4/2023,bird survey local park honeyeater lookout point
25,,siteVisit,Cannonvale,25/4/2023,bird survey local park honeyeater lookout point
26,25,Sample,Cannonvale,25/4/2023,bird survey local park honeyeater lookout point
27,26,Observation,Cannonvale,25/4/2023,bird survey local park honeyeater lookout point
28,,siteVisit,Cannonvale,9/5/2023,bird survey local park honeyeater lookout point
29,28,Sample,Cannonvale,9/5/2023,bird survey local park honeyeater lookout point
30,29,Observation,Cannonvale,9/5/2023,bird survey local park honeyeater lookout point
31,,siteVisit,Cannonvale,23/5/2023,bird survey local park honeyeater lookout point
32,31,Sample,Cannonvale,23/5/2023,bird survey local park honeyeater lookout point
33,32,Observation,Cannonvale,23/5/2023,bird survey local park honeyeater lookout point
34,,siteVisit,Cannonvale,6/6/2023,bird survey local park honeyeater lookout point
35,34,Sample,Cannonvale,6/6/2023,bird survey local park honeyeater lookout point
