site_code,year,depth,water_type,log_size,veg_aqu,veg_canopy,veg_bank,pc_urban,pc_canopy,cpar,csig,limdum,limper,limtas,lper,lver,ulae
AMA100,2004,deep,moving,2.914535472,1,0,1,0.226,0.0427,1,0,0,0,1,1,0,0
AMA100,2007,deep,moving,2.914535472,1,0,1,0.2067,0.0987,1,0,1,0,1,0,0,0
AMA100,2007,deep,moving,2.914535472,1,0,1,0.2067,0.0987,1,0,1,0,1,0,0,0
AMA100,2005,deep,moving,2.914535472,1,0,1,0.2813,0.0567,1,1,1,0,1,0,0,0
AMA100,2008,deep,moving,2.914535472,1,0,1,0.2067,0.0607,1,0,1,0,0,1,0,0
AMA100,2008,deep,moving,2.914535472,1,0,1,0.2067,0.0607,1,0,1,0,1,1,0,0
AMA100,2013,deep,moving,2.914535472,1,0,1,0.22,0.086,1,0,1,0,1,0,0,0
AMA100,2008,deep,moving,2.914535472,1,0,1,0.2067,0.0607,1,0,1,0,1,1,0,0
AMA100,2013,deep,moving,2.914535472,1,0,1,0.22,0.086,1,1,0,0,0,0,0,0
AMA100,2014,deep,moving,2.914535472,1,0,1,0.1233,0.076,1,1,1,0,1,0,0,0
AMA100,2013,deep,moving,2.914535472,1,0,1,0.22,0.086,1,1,0,0,1,0,1,0
AMH100,2013,shallow,moving,0.55428721,2,1,2,0.14,0.1369,0,0,0,0,1,0,0,0
AMH100,2012,shallow,moving,0.55428721,2,1,2,0.1356,0.1369,0,0,0,1,1,0,0,0
AMH100,2013,shallow,moving,0.55428721,2,1,2,0.14,0.1369,0,0,0,1,1,0,0,0
AMH100,2014,shallow,moving,0.55428721,2,1,2,0.1256,0.0988,0,0,0,0,1,0,0,0
AMH100,2014,shallow,moving,0.55428721,2,1,2,0.1256,0.0988,0,0,0,0,1,0,0,0
AMH100,2012,shallow,moving,0.55428721,2,1,2,0.1356,0.1369,0,0,0,1,1,0,0,0
AMH100,2013,shallow,moving,0.55428721,2,1,2,0.14,0.1369,0,0,0,0,1,0,0,0
AMH100,2014,shallow,moving,0.55428721,2,1,2,0.1256,0.0988,0,0,0,0,1,0,0,0
AMH100,2014,shallow,moving,0.55428721,2,1,2,0.1256,0.0988,0,0,0,0,1,0,0,0
AMH100,2013,shallow,moving,0.55428721,2,1,2,0.14,0.1369,0,0,0,0,0,0,0,0
AMH100,2013,shallow,moving,0.55428721,2,1,2,0.14,0.1369,0,0,0,0,0,0,0,0
AMH100,2013,shallow,moving,0.55428721,2,1,2,0.14,0.1369,0,0,0,0,1,0,0,0
ANB100,2014,deep,moving,2.012837225,2,1,2,0.0975,0.24,0,1,1,1,0,0,0,0
ANB100,2014,deep,moving,2.012837225,2,1,2,0.0975,0.24,0,1,1,1,0,0,0,0
ANB100,2012,deep,moving,2.012837225,2,1,2,0.1019,0.2981,0,1,1,0,0,0,0,0
ANB100,2013,deep,moving,2.012837225,2,1,2,0.1206,0.2563,0,0,1,1,0,0,0,0
ANB100,2013,deep,moving,2.012837225,2,1,2,0.1206,0.2563,0,1,1,1,0,0,0,0
ANB100,2012,deep,moving,2.012837225,2,1,2,0.1019,0.2981,0,1,1,0,0,0,0,0
ANB100,2011,deep,moving,2.012837225,2,1,2,0.085,0.3075,0,1,1,0,0,0,0,0
ANU004,2006,deep,moving,1.753791905,2,0,3,0.1514,0.2714,0,0,0,0,0,0,0,0
ANU004,2010,deep,moving,1.753791905,2,0,3,0.1271,0.2664,0,1,0,0,1,0,0,0
ANU004,2006,deep,moving,1.753791905,2,0,3,0.1514,0.2714,0,0,0,0,0,0,0,0
ANU004,2006,deep,moving,1.753791905,2,0,3,0.1514,0.2714,0,0,0,0,0,0,0,0
ANU004,2011,deep,moving,1.753791905,2,0,3,0.1836,0.225,0,1,0,0,1,0,0,0
ANU004,2007,deep,moving,1.753791905,2,0,3,0.15,0.275,0,1,0,0,0,0,0,0
ANU004,2007,deep,moving,1.753791905,2,0,3,0.15,0.275,0,0,1,0,1,0,0,0
ANU004,2011,deep,moving,1.753791905,2,0,3,0.1836,0.225,0,1,0,0,1,0,0,0
ANU004,2013,deep,moving,1.753791905,2,0,3,0.1936,0.1993,0,1,0,0,1,0,0,0
ANU004,2007,deep,moving,1.753791905,2,0,3,0.15,0.275,0,1,0,0,0,0,0,0
ANU004,2010,deep,moving,1.753791905,2,0,3,0.1271,0.2664,0,1,0,0,1,0,0,0
ANU004,2005,deep,moving,1.753791905,2,0,3,0.1393,0.2643,0,1,0,0,0,0,0,0
ANU004,2013,deep,moving,1.753791905,2,0,3,0.1936,0.1993,0,1,1,0,1,0,0,0
ANU004,2012,deep,moving,1.753791905,2,0,3,0.175,0.2157,0,1,0,0,1,0,0,0
ANU004,2012,deep,moving,1.753791905,2,0,3,0.175,0.2157,0,1,0,0,1,0,0,0
ANU004,2013,deep,moving,1.753791905,2,0,3,0.1936,0.1993,0,1,1,0,1,0,0,0
ANU004,2013,deep,moving,1.753791905,2,0,3,0.1936,0.1993,0,1,0,0,1,0,0,0
ANU004,2013,deep,moving,1.753791905,2,0,3,0.1936,0.1993,0,1,0,0,1,0,0,0
ANU004,2013,deep,moving,1.753791905,2,0,3,0.1936,0.1993,0,1,0,0,1,0,0,0
ANU004,2013,deep,moving,1.753791905,2,0,3,0.1936,0.1993,0,1,0,0,1,0,0,0
ANU004,2007,deep,moving,1.753791905,2,0,3,0.15,0.275,0,0,0,0,0,0,0,0
ANU004,2014,deep,moving,1.753791905,2,0,3,0.1486,0.1971,0,1,1,0,0,0,0,0
ANU018,2010,deep,still,2.377488383,2,1,2,0.1407,0.23,0,0,0,0,0,0,0,0
ANU018,2007,deep,still,2.377488383,2,1,2,0.155,0.2379,0,1,0,0,0,0,0,0
ANU018,2014,deep,still,2.377488383,2,1,2,0.1493,0.1571,0,0,0,0,0,0,0,0
ANU018,2009,deep,still,2.377488383,2,1,2,0.16,0.2714,0,0,0,1,0,0,0,0
ANU018,2011,deep,still,2.377488383,2,1,2,0.1986,0.1793,0,1,0,0,0,0,0,0
ANU018,2013,deep,still,2.377488383,2,1,2,0.2114,0.1629,0,0,0,0,0,0,0,0
ANU018,2007,deep,still,2.377488383,2,1,2,0.155,0.2379,0,1,0,1,0,0,0,0
ANU018,2013,deep,still,2.377488383,2,1,2,0.2114,0.1629,0,0,0,0,0,0,0,0
