occurrenceID,scientificName,decimalLatitude,decimalLongitude,eventDate,vernacularName,genus,family,order,class,phylum,kingdom,coordinateUncertaintyInMeters,geodeticDatum,basisOfRecord
b1f08bd7-ea74-4381-ac45-65230c1ebb69,Corymbia latifolia,-13.04,131.07,2022-03-29,Round-leaved Bloodwood,Corymbia,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
9bcaa9c8-4b37-4d8a-950e-4a3e0e79e872,Eucalyptus tectifica,-13.04,131.07,2022-09-13,Grey Box,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
e880ca1b-5ba2-405c-ad46-c12dff0994af,Banksia aemula,-33.6,150.72,2022-08-15,Banyalla,Banksia,Proteaceae,Proteales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
f64366dd-445c-4356-9e5f-99616a97d508,Eucalyptus racemosa,-33.6,150.72,2022-06-16,Scribbly Gum,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
3e7f20d4-1d4d-43b8-93e3-1d8f22b27263,Persoonia laurina,-33.6,150.72,2022-10-19,,Persoonia,Proteaceae,Proteales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
5adba117-02a9-4dec-8c4b-834df3302350,Acacia aneura,-22.35,133.33,2022-10-11,Mulga,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
2cd616ac-6dfe-4588-85a6-b085c4edde86,Acacia cambagei,-22.35,133.33,2022-08-23,Gidgee,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
7a376903-6a08-4437-a8bb-144383ae5ca9,Acacia dictyophleba,-22.35,133.33,2022-01-11,Waxy Wattle,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
d760113c-52f7-420a-b379-3e190809699c,Acacia estrophiolata,-22.35,133.33,2022-07-10,Southern Ironwood,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
a67dc610-f153-4e92-aa6a-e0b025a7d63f,Acacia kempeana,-22.35,133.33,2022-07-18,Witchetty Bush,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
a3ed2393-6646-4e53-9abd-0235caafbb0e,Acacia melleodora,-22.35,133.33,2022-04-25,Scented Wax Wattle,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
178bd8c7-8019-499d-9b8c-80cd20714b92,Acacia murrayana,-22.35,133.33,2022-12-15,Murray's Wattle,Acacia,Fabaceae,Fabales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
95d703d8-54d9-4c6f-a2c6-9453cce8d51a,Corymbia opaca,-22.35,133.33,2022-02-06,Desert Bloodwood,Corymbia,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
9de28b9b-98e5-4818-a055-5e0585a4f35c,Corymbia terminalis,-22.35,133.33,2022-04-21,Bloodwood,Corymbia,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
44b7c350-4b69-42ec-b184-e5476565f912,Eremophila latrobei,-22.35,133.33,2022-01-30,Crimson Turkey Bush,Eremophila,Scrophulariaceae,Lamiales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
1139f7d2-c59f-453b-9225-6d73d08f61d0,Eucalyptus camaldulensis,-22.35,133.33,2022-03-30,Flooded Gum,Eucalyptus,Myrtaceae,Myrtales,Equisetopsida,Charophyta,Plantae,100,WGS84,HUMAN_OBSERVATION
