Species,Latitude,Longitude,Collection_date
Corymbia latifolia,-13.04,131.07,29/3/2022
Eucalyptus tectifica,-13.04,131.07,13/9/2022
Banksia aemula,-33.6,150.72,15/8/2022
Eucalyptus sclerophylla,-33.6,150.72,16/6/2022
Persoonia laurina,-33.6,150.72,19/10/2022
Acacia aneura,-22.35,133.33,11/10/2022
Acacia cambagei,-22.35,133.33,23/8/2022
Acacia dictyophleba,-22.35,133.33,11/1/2022
Acacia estrophiolata,-22.35,133.33,10/7/2022
Acacia kempeana,-22.35,133.33,18/7/2022
Acacia melleodora,-22.35,133.33,25/4/2022
Acacia murayana,-22.35,133.33,15/12/2022
Corymbia opaca,-22.35,133.33,6/2/2022
Corymbia terminalis,-22.35,133.33,21/4/2022
Eremophila latrobei,-22.35,133.33,30/1/2022
Eucalyptus camaldulensis,-22.35,133.33,30/3/2022
Eucalyptus camaldulensis var. obtusa,-22.35,133.33,25/7/2022
Hakea leucoptera,-22.35,133.33,11/3/2022
Hakea macrocarpa,-22.35,133.33,28/7/2022
Psydrax latifolia,-22.35,133.33,6/3/2022
Acacia celsa,-17.26,145.46,5/9/2022
Acronychia acidula,-17.26,145.46,22/4/2022
Aleurites rockinghamensis,-17.26,145.46,21/7/2022
Alphitonia petriei,-17.26,145.46,11/3/2022
Gillbeea adenopetala,-17.26,145.46,15/2/2022
Litsea leefeana,-17.26,145.46,11/5/2022
Myrsine porosa,-17.26,145.46,31/10/2022
Neolitsea dealbata,-17.26,145.46,8/10/2022
Polyscias australiana,-17.26,145.46,26/10/2022
Coprosma hirtella,-35.66,148.15,4/3/2022
Daviesia latifolia,-35.66,148.15,28/6/2022
Eucalyptus delegatensis,-35.66,148.15,22/1/2022
Tasmannia lanceolata,-35.66,148.15,24/6/2022
Eucalyptus miniata,-12.42,130.92,28/10/2022
Eucalyptus tetrodonta,-12.42,130.92,21/6/2022
