Term Name,Label,Term IRI,Term version IRI,Modified,Definition,Type,Used,Note,Replacement
dwc:Dataset,Dataset,http://rs.tdwg.org/dwc/terms/Dataset,http://rs.tdwg.org/dwc/terms/version/Dataset-2008-11-19,2009-09-11,The category of information pertaining to a logical set of records.,Class,False,This term is no longer recommended for use.,
dwc:DwCType,Darwin Core Type,http://rs.tdwg.org/dwc/terms/DwCType,http://rs.tdwg.org/dwc/terms/version/DwCType-2008-11-19,2014-10-23,"The set of classes specified by the Darwin Core Type Vocabulary, used to categorize the nature or genre of the resource.",http://purl.org/dc/dcam/VocabularyEncodingScheme,False,This term is no longer recommended for use.,
dwc:EarliestDateCollected,Earliest Date Collected,http://rs.tdwg.org/dwc/terms/EarliestDateCollected,http://rs.tdwg.org/dwc/terms/version/EarliestDateCollected-2008-11-19,2009-04-24,"The earliest date-time in a period during which a event occurred. If the event is recorded as occurring at a single date-time, populate both EarliestDateCollected and LatestDateCollected with the same value. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).",Property,False,This term is no longer recommended for use.,http://rs.tdwg.org/dwc/dwcore/EarliestDateCollected
dwc:EndTimeOfDay,End Time of Day,http://rs.tdwg.org/dwc/terms/EndTimeOfDay,http://rs.tdwg.org/dwc/terms/version/EndTimeOfDay-2008-11-19,2009-04-24,"The time of day when the event ended, expressed as decimal hours from midnight, local time.",Property,False,This term is no longer recommended for use.,http://www.iobis.org/obis/EndTimeOfDay
dwc:Event,Event,http://rs.tdwg.org/dwc/terms/Event,http://rs.tdwg.org/dwc/terms/version/Event-2018-09-06,2018-09-06,An action that occurs at some location during some time.,Class,True,,http://rs.tdwg.org/dwc/terms/SamplingEvent
dwc:EventAttribute,Event Attribute,http://rs.tdwg.org/dwc/terms/EventAttribute,http://rs.tdwg.org/dwc/terms/version/EventAttribute-2008-11-19,2009-04-24,Container class for information about attributes related to a given sampling event.,Class,False,This term is no longer recommended for use.,
dwc:EventAttributeAccuracy,Event Attribute Accuracy,http://rs.tdwg.org/dwc/terms/EventAttributeAccuracy,http://rs.tdwg.org/dwc/terms/version/EventAttributeAccuracy-2009-01-18,2009-04-24,The description of the error associated with the EventAttributeValue.,Property,False,This term is no longer recommended for use.,
dwc:EventAttributeDeterminedBy,Event Attribute Determined By,http://rs.tdwg.org/dwc/terms/EventAttributeDeterminedBy,http://rs.tdwg.org/dwc/terms/version/EventAttributeDeterminedBy-2009-01-23,2009-04-24,The agent responsible for having determined the value of the measurement or characteristic of the sampling event.,Property,False,This term is no longer recommended for use.,
dwc:EventAttributeDeterminedDate,Event Attribute Determined Date,http://rs.tdwg.org/dwc/terms/EventAttributeDeterminedDate,http://rs.tdwg.org/dwc/terms/version/EventAttributeDeterminedDate-2009-01-23,2009-04-24,The date on which the the measurement or characteristic of the sampling event was made.,Property,False,This term is no longer recommended for use.,
dwc:EventAttributeID,Event Attribute ID,http://rs.tdwg.org/dwc/terms/EventAttributeID,http://rs.tdwg.org/dwc/terms/version/EventAttributeID-2008-11-19,2009-04-24,An identifier for the event attribute. May be a global unique identifier or an identifier specific to the data set.,Property,False,This term is no longer recommended for use.,
